cnt,lemma,ru
1,extensibility,расширяемость
1,nature,природа
1,every,каждый
1,spectrum,Спектр
1,contact,контакт
1,seven,семь
1,wedding,свадьба
1,hasidic,хасидский
1,motherfucke,motherfucke
1,noise,шум
1,unbelievable,unbelievable
1,mediocre,средненизкая
1,might,мочь
1,someday,Однажды
1,hierarchy,иерархии.
1,none,отсутствуют
1,seem,казаться
1,maximum,максимум
1,tonight,сегодня вечером
1,elegant,элегантный
1,construct,конструкция
1,downgrade,понизить
1,liquid,жидкость
1,weissman,weissman
1,score,счёт
1,two,две
1,channel,канал
1,router,маршрутизатор
1,lossless,lossless
1,somehow,как-то
1,space,Пробел
1,silly,глупый
1,songwriter,& Автор песни:
1,sec,сек.
1,dunn,dunn
1,pursue,Преследовать
1,word,слово
1,integrate,Интегрировать
1,platform,платформа
1,functionality,задач
1,seriously,серьезный
1,few,Немного
1,ago,назад
1,barack,barack
1,obama,Obama
1,disrupt,Разрушать
1,digital,цифровой
1,importantly,"Важно отметить, что"
1,hit,ударить
1,layer,слой
1,quart,кварт
1,wylie,Вайли
1,wow,Ух ты
1,firmly,Твердо
1,believe,верить
1,greatness,Великий
1,goodness,Великодушие
1,afford,Предоставлять
1,excellent,отлично
1,rent,сдать или снять
1,shithole,Дыре
1,miss,пропустить
1,marketing,маркетинг
1,douchebag,мундштук
1,yup,yup
1,inside,внутри
1,compound, смесь
1,buy,купить
1,island,остров
1,pacific,Тихий океан
1,baller,baller
1,also,также и
1,willing,готовы
1,skip,пропустить
1,insane,Сумасшедший
1,hate,ненавидеть
1,package,пакет
1,technically,Технически
1,hmm,"hmm,"
1,transport,транспортировки
1,orient,стр.
1,message,сообщение
1,network,линии
1,dufresne,dufresne
1,acquire,приобретать
1,camera,камера
1,dustin,Дустин
1,elon,удлин.
1,musk,Мускус
1,name,имя
1,photrio,фото
1,person,chelovek
1,apart,кроме
1,stand,стоять
1,drink,напиток
1,javeed,javeed
1,minimal,минимальный
1,ex,экс
1,room,номер
1,mate,пфчефобс юбуфш
1,separate,отдельный
1,moskovitz,moskovitz
1,second,сек.
1,solo,qweqweqweqweqweqweqw
1,mm,мм
1,question,вопрос
1,tech,tech
1,technology,технология
1,transform,преобразуют
1,doesn,не
1,table,таблица
1,megabyte,мегабайт
1,vest,жилет
1,spew,spew
1,dangerous,опасный
1,administrator,администратор
1,bloated,вздутие живота
1,double,двойной
1,macchiato,Макиато
1,rico,Rico.
1,too,","
1,busy,занятой
1,lifer,Lifer
1,forever,постоянно
1,top,верх
1,stock,заготовок
1,fasten,Закреплять
1,option,опция
1,artist,художник
1,entrepreneur,предприниматель
1,iconoclast,иконоборец
1,exist,существовать
1,mess,беспорядок
1,aw,AW
1,wiper,скребковое кольцо
1,wide,широкий
1,diaper,подгузник
1,gate,заслонка
1,dell,dell мир
1,belt,ремень
1,ahead,вперёд на
1,innovation,в сфере маркетизации
1,oil,&amp;
1,incomprehensible,непонятно
1,ignorance,невежество
1,trust,доверяем
1,themselves,самостоятельно
1,system,"обогрева,"
1,happily,счастливо
1,churn,churn
1,unemploye,безработный
1,debtor,должник
1,dubious,Подозрительный
1,education,образование
1,snake,змея
1,fascist,Фашизм
1,berry,"китайского лимонника,"
1,anything,что-нибудь
1,usual,usual
1,riff,RIFF
1,twitter,Twitter
1,instagram,Instagram
1,nothing,nada
1,excuse,оправдание
1,burger,гамбургер
1,king,король
1,wood,дерево
1,forage,корм
1,nut,гайка
1,cradle,подвеску
1,cruel,жестокие
1,ahh,ahh
1,its,свой
1,picture,Картина
1,paris,Париж
1,texas,техас
1,campbell,Campbell
1,probably,вероятно
1,total,всего
1,retard,retard
1,memorize,запоминать
1,enroll,зарегистрироваться
1,endless,бесконечный
1,consumer,потребитель
1,power,— плата
1,project,обслуживания
1,f,f
1,put,класть
1,github,github
1,fable,Басня
1,rat,крыса
1,narrow,узкий
1,billionaire,миллиардер
1,wan,поле
1,check,проверить
1,twig,Ветка
1,download,загрузка
1,player,игрок
1,enterprise,крупный бизнес
1,fleventyfive,fleventyfive
1,nine,девять
1,joke,шутка
1,farsi,farsi
1,middle,посредине
1,class,класс
1,benefit,льгота
1,perpetrator,подозреваемый
1,fun,весёлый
1,wasn,было
1,crunch,раздробление
1,process,процесс
1,upside,положительные стороны; благоприятные последствия; положительные аспекты; позитивные результаты
1,tattoo,"tattoo,"
1,side,стороне
1,translate,Перевод
1,language,языка
1,ask,sprosit
1,speak,говорю
1,frontier,граница
1,airline,Авиакомпания
1,mine,мой
1,alphabet,алфавит
1,instead,вместо
1,letter,письмо
1,cause,причина
1,laveyan,laveyan
1,christ,Христос
1,hexadecimal,шестнадцатеричный
1,machine,механический
1,redesign,Дизайн
1,bye,До свидания
1,rad,рад
1,decide,решать
1,era,эра
1,congress,Конгрессы
1,year,год
1,huge,огромный 
1,waste,отходы
1,video,видео
1,image,изображение
1,audio,аудио
1,dinesh,Раушан
1,invest,Инвестиция
1,ass,کون کردن
1,later,в будущем.
1,trade,сделка
1,creepy,Creepy
1,clearly,ясно
1,understand,понимать 
1,humiliating,Унижение
1,elevate,поднятие привилегий
1,slow,медленный
1,pick,кирка
1,pull,pull
1,pace,шаг
1,honestly,серьёзно. 
1,umm,umm
1,apple,яблоко
1,office,Мой офис
1,neither,Другое
1,charge,&amp;
1,claim,запрос
1,whether,Уж не из Испании ли дядечка?
1,angellist,AngelList
1,beyond,за
1,grown,Рост
1,answer,ответа
1,ride,поездка
1,family,семья
1,reference,справка
1,least,наименьший
1,ta,ta
1,stay,побыть
1,smartphone,смартфон
1,vital,Жизненно важный
1,actual,Фактический
1,empire,empire
1,quinoa,киноа
1,news,novosti
1,phase,фаза
1,honest,честный
1,investor,ИНВЕСТОР
1,today,сегодня
1,whoa,Ох.
1,jeez,Здорово
1,monica,Моника
1,fancy,fancy
1,super,супер
1,gps,два-маркера-маршрут
1,gentleman,джентльмен.
1,mandatory,обязательный
1,andreesen,andreesen
1,huh,А?
1,short,короткий
1,asian,азиатский
1,fat,жир
1,ponytail,конский хвост
1,crazy,крейзи
1,facial,facial
1,east,Ист
1,promotion,поощрения
1,mouth,рот
1,counsel,юридический советник; юрист; адвокат; юрисконсульт
1,ninety,девяносто
1,real,реал
1,rest,отдых
1,tall,высокий
1,global,global
1,corporate,корпоративные
1,level,&amp;
1,belong,принадлежит
1,resource,ресурс
1,six,6
1,introduce,использовать
1,generous,щедрый
1,meeting,16 мая 2019 года
1,kind,добрый
1,quick,быстрого
1,push,проталкивайте
1,white,белый
1,beneficence,MILOSERDIE
1,retreat,уединение для самонаблюдения
1,wonder,удивление
1,fill,заполнить
1,possibly,может быть
1,progressive,progressive
1,voluntary,произвольные
1,social,соц. сети
1,justice,справедливость
1,spirit,дух&#x0D;
1,substantial,значительное
1,indian,Индийская
1,raise,возбуждение
1,agree,согласен (-на)
1,hair,волосы
1,available,в наличии
1,weird,странный
1,ffff,АААААА
1,course,курс
1,shirt,рубашка
1,ya,ya
1,late,позже
1,spiritual,spiritual
1,advisor,консультант
1,shouldn,следует
1,vp,VP
1,hardly,Едва ли
1,begin,в начале
1,describe,рисовать
1,metal,металл
1,elevation,въезда
1,once,Один раз
1,metaphorical,Метафора
1,rocket,rocket
1,shot,выстрел
1,outright,Исход
1,deal,сделка
1,clear,ясно
1,fyi,FYi
1,yourself,"собой,"
1,hold,держать
1,gun,пушка
1,temple,храм
1,never,никогда
1,basically,basically
1,disease,заболевания
1,eyeball,GLAZ
1,both,оба
1,optic,глаз
1,congenital,Врожденное
1,nerve,нерв
1,wife,жена
1,yike,Ничего себе
1,may,может
1,literal,литерал
1,genius,гений
1,lady,леди
1,human,человек
1,anatomy,анатомия
1,wound,ранить
1,ellison,Ellison
1,respect,уважение
1,deliver,доставить
1,critical,Критический
1,mass,масса
1,record,запись 
1,material,материал
1,band,музыкальная группа
1,nobody,никто
1,everybody,все
1,involve,содержит
1,industry,industry
1,meditate,Размышляйте
1,share,поделиться
1,radiohead,Radiohead
1,dead,мёртвый
1,behalf,не убила.
1,weight,(без
1,show,показать
1,promise,обещать
1,sake,Ср.:
1,nipalert,nipalert
1,location,образца
1,erect,прямостоячее
1,nipple,nipple
1,touch,касаться
1,poser,Позеры
1,disappear,исчезать
1,especially,специально
1,matter,дело
1,gunshot,RANY OGNESTREL&apos;NYE
1,tingle,покалывание
1,instant,немедленно
1,else,ещё 
1,everything,всё
1,sometimes,Иногда
1,bathroom,ванная комната
1,clothe,ODEZHDA
1,device, возвратной воды
1,doctor,врач
1,bury,to bury one's face in one's hands
1,clunky,неуклюжий
1,ui,пользовательский интерфейс
1,engineering,инженерное дело;
1,impact,на природный капитал
1,navigation,навигация
1,same,тоже самое
1,medical,применение
1,imagery,KATATIMNO-IMAGINATIVNAIA PSIKHOTERAPIIA
1,transmit,распространять
1,quality,пейзажа
1,loss,убыток
1,game,матч
1,control,данными
1,driver,водитель
1,hand,рука
1,onto,В альбом
1,pile,сваи
1,seed,зерно
1,situation,ситуация
1,exact,exact
1,inflict,наносить
1,intercourse,Вор проснулся.
1,er,ер
1,couple,пара
1,pee,"BEREMENNOSTI TOKSIKOZ, OPG"
1,desperate,desperate
1,burst,пакет
1,snap,защелка
1,little,мало
1,founder,основатель
1,percentage,/
1,date,.
1,within,в пределах
1,mile,Миля
1,public,публичный
1,almost,почти
1,restroom,Правила поведения 
1,homosexual,GOMOSEKSUALIZM
1,universal,универсал
1,community,сообщество
1,anonymous,анонимный
1,gay,гей
1,survive,Выживание
1,garden,посмотреть прочитать и сопоставить
1,variety,Сорт
1,pretty,достаточно
1,yellow,жёлтый
1,welcome,желанным гостем
1,tvsubtitle,tvsubtitle
